X,Y,Reconstruction_Error
-1567257.5819591647,-848425.451726,0.0
-1563947.2549723333,-848425.451726,0.0
-1560636.927985502,-848425.451726,0.0
-1557326.6009986706,-848425.451726,0.0
-1554016.2740118392,-848425.451726,0.0
-1550705.9470250078,-848425.451726,0.0
-1547395.6200381764,-848425.451726,0.0
-1544085.293051345,-848425.451726,0.0
-1540774.9660645137,-848425.451726,0.0
-1537464.6390776823,-848425.451726,0.0
-1534154.312090851,-848425.451726,0.0
-1530843.9851040195,-848425.451726,0.0
-1527533.6581171881,-848425.451726,0.0
-1524223.3311303568,-848425.451726,0.0
-1520913.0041435254,-848425.451726,0.0
-1517602.677156694,-848425.451726,0.0
-1514292.3501698626,-848425.451726,0.0
-1510982.0231830315,-848425.451726,0.0
-1507671.6961961999,-848425.451726,0.0
-1504361.3692093687,-848425.451726,0.0
-1501051.042222537,-848425.451726,0.0
-1497740.715235706,-848425.451726,0.0
-1494430.3882488746,-848425.451726,0.0
-1491120.0612620432,-848425.451726,0.0
-1487809.7342752116,-848425.451726,0.0
-1484499.4072883804,-848425.451726,0.0
-1481189.0803015488,-848425.451726,0.0
-1477878.7533147177,-848425.451726,0.0
-1474568.4263278863,-848425.451726,0.0
-1471258.099341055,-848425.451726,0.0
-1467947.7723542235,-848425.451726,0.0
-1464637.4453673922,-848425.451726,0.0
-1461327.1183805608,-848425.451726,0.0
-1458016.7913937294,-848425.451726,0.0
-1454706.464406898,-848425.451726,0.0
-1451396.1374200666,-848425.451726,0.0
-1448085.8104332353,-848425.451726,0.0
-1444775.4834464039,-848425.451726,0.0
-1441465.1564595725,-848425.451726,0.0
-1438154.829472741,-848425.451726,0.0
-1434844.5024859097,-848425.451726,0.0
-1431534.1754990784,-848425.451726,0.0
-1428223.848512247,-848425.451726,0.0
-1424913.5215254156,-848425.451726,0.0
-1421603.1945385842,-848425.451726,0.0
-1418292.8675517528,-848425.451726,0.0
-1414982.5405649215,-848425.451726,0.0
-1411672.21357809,-848425.451726,0.0
-1408361.886591259,-848425.451726,0.0
-1405051.5596044273,-848425.451726,0.0
-1401741.2326175962,-848425.451726,0.0
-1398430.9056307646,-848425.451726,0.0
-1395120.5786439334,-848425.451726,0.0
-1391810.2516571018,-848425.451726,0.0
-1388499.9246702706,-848425.451726,0.0
-1385189.597683439,-848425.451726,0.0
-1381879.270696608,-848425.451726,0.0
-1378568.9437097765,-848425.451726,0.0
-1375258.6167229451,-848425.451726,0.0
-1371948.2897361137,-848425.451726,0.0
-1368637.9627492824,-848425.451726,0.0
-1365327.635762451,-848425.451726,0.0
-1362017.3087756196,-848425.451726,0.0
-1358706.9817887882,-848425.451726,0.0
-1355396.6548019568,-848425.451726,0.0
-1352086.3278151255,-848425.451726,0.0
-1348776.000828294,-848425.451726,0.0
-1345465.6738414627,-848425.451726,0.0
-1342155.3468546313,-848425.451726,0.0
-1338845.0198678,-848425.451726,0.0
-1335534.6928809686,-848425.451726,0.0
-1332224.3658941372,-848425.451726,0.0
-1328914.0389073058,-848425.451726,0.0
-1325603.7119204744,-848425.451726,0.0
-1322293.384933643,-848425.451726,0.0
-1318983.057946812,-848425.451726,0.0
-1315672.7309599803,-848425.451726,0.0
-1312362.4039731491,-848425.451726,0.0
-1309052.0769863175,-848425.451726,0.0
-1305741.7499994864,-848425.451726,0.0
-1302431.4230126548,-848425.451726,0.0
-1299121.0960258236,-848425.451726,0.0
-1295810.769038992,-848425.451726,0.0
-1292500.4420521609,-848425.451726,0.0
-1289190.1150653292,-848425.451726,0.0
-1285879.788078498,-848425.451726,0.0
-1282569.4610916665,-848425.451726,0.0
-1279259.1341048353,-848425.451726,0.0
-1275948.807118004,-848425.451726,0.0
-1272638.4801311726,-848425.451726,0.0
-1269328.1531443412,-848425.451726,0.0
-1266017.8261575098,-848425.451726,0.0
-1262707.4991706784,-848425.451726,0.0
-1259397.172183847,-848425.451726,0.0
-1256086.8451970157,-848425.451726,0.0
-1252776.5182101843,-848425.451726,0.0
-1249466.191223353,-848425.451726,0.0
-1246155.8642365215,-848425.451726,0.0
-1242845.5372496904,-848425.451726,0.0
-1239535.2102628588,-848425.451726,0.0
-1236224.8832760276,-848425.451726,0.0
-1232914.556289196,-848425.451726,0.0
-1229604.2293023646,-848425.451726,0.0
-1226293.9023155333,-848425.451726,0.0
-1222983.5753287019,-848425.451726,0.0
-1219673.2483418705,-848425.451726,0.0
-1216362.921355039,-848425.451726,0.0
-1213052.5943682077,-848425.451726,0.0
-1209742.2673813766,-848425.451726,0.0
-1206431.940394545,-848425.451726,0.0
-1203121.6134077138,-848425.451726,0.0
-1199811.2864208822,-848425.451726,0.0
-1196500.959434051,-848425.451726,0.0
-1193190.6324472197,-848425.451726,0.0
-1189880.3054603883,-848425.451726,0.0
-1186569.978473557,-848425.451726,0.0
-1183259.6514867255,-848425.451726,0.0
-1179949.324499894,-848425.451726,0.0
-1176638.9975130628,-848425.451726,0.0
-1173328.6705262312,-848425.451726,0.0
-1170018.3435394,-848425.451726,0.0
-1166708.0165525684,-848425.451726,0.0
-1163397.6895657373,-848425.451726,0.0
-1160087.362578906,-848425.451726,0.0
-1156777.0355920745,-848425.451726,0.0
-1153466.7086052431,-848425.451726,0.0
-1150156.3816184117,-848425.451726,0.0
-1146846.0546315804,-848425.451726,0.0
-1143535.727644749,-848425.451726,0.0
-1140225.4006579176,-848425.451726,0.0
-1136915.0736710862,-848425.451726,0.0
-1133604.7466842548,-848425.451726,0.0
-1130294.4196974235,-848425.451726,0.0
-1126984.0927105923,-848425.451726,0.0
-1123673.7657237607,-848425.451726,0.0
-1120363.4387369296,-848425.451726,0.0
-1117053.111750098,-848425.451726,0.0
-1113742.7847632668,-848425.451726,0.0
-1110432.4577764352,-848425.451726,0.0
-1107122.130789604,-848425.451726,0.0
-1103811.8038027724,-848425.451726,0.0
-1100501.4768159413,-848425.451726,0.0
-1097191.1498291097,-848425.451726,0.0
-1093880.8228422785,-848425.451726,0.0
-1090570.495855447,-848425.451726,0.0
-1087260.1688686158,-848425.451726,0.0
-1083949.8418817841,-848425.451726,0.0
-1080639.514894953,-848425.451726,0.0
-1077329.1879081216,-848425.451726,0.0
-1074018.8609212902,-848425.451726,0.0
-1070708.5339344589,-848425.451726,0.0
-1067398.2069476275,-848425.451726,0.0
-1064087.879960796,-848425.451726,0.0
-1060777.5529739647,-848425.451726,0.0
-1057467.2259871333,-848425.451726,0.0
-1054156.899000302,-848425.451726,0.0
-1050846.5720134706,-848425.451726,0.0
-1047536.2450266392,-848425.451726,0.0
-1044225.9180398078,-848425.451726,0.0
-1040915.5910529764,-848425.451726,0.0
-1037605.264066145,-848425.451726,0.0
-1034294.9370793137,-848425.451726,0.0
-1030984.6100924823,-848425.451726,0.0
-1027674.283105651,-848425.451726,0.0
-1024363.9561188195,-848425.451726,0.0
-1021053.6291319883,-848425.451726,0.0
-1017743.3021451568,-848425.451726,0.0
-1014432.9751583255,-848425.451726,0.0
-1011122.6481714941,-848425.451726,0.0
-1007812.3211846628,-848425.451726,0.0
-1004501.9941978314,-848425.451726,0.0
-1001191.667211,-848425.451726,0.0
-1845325.048853,-844792.1822701137,0.0
-1842014.7218661685,-844792.1822701137,0.0
-1838704.3948793372,-844792.1822701137,0.0
-1835394.0678925058,-844792.1822701137,0.0
-1832083.7409056744,-844792.1822701137,0.0
-1828773.413918843,-844792.1822701137,0.0
-1825463.0869320116,-844792.1822701137,0.0
-1822152.7599451803,-844792.1822701137,0.0
-1818842.432958349,-844792.1822701137,0.0
-1815532.1059715175,-844792.1822701137,0.0
-1812221.7789846861,-844792.1822701137,0.0
-1808911.4519978547,-844792.1822701137,0.0
-1805601.1250110234,-844792.1822701137,0.0
-1802290.798024192,-844792.1822701137,0.0
-1798980.4710373606,-844792.1822701137,0.0
-1795670.1440505292,-844792.1822701137,0.0
-1792359.817063698,-844792.1822701137,0.0
-1789049.4900768667,-844792.1822701137,0.0
-1785739.1630900353,-844792.1822701137,0.0
-1782428.836103204,-844792.1822701137,0.0
-1779118.5091163726,-844792.1822701137,0.0
-1775808.1821295412,-844792.1822701137,0.0
-1772497.8551427098,-844792.1822701137,0.0
-1769187.5281558784,-844792.1822701137,0.0
-1765877.201169047,-844792.1822701137,0.0
-1762566.8741822157,-844792.1822701137,0.0
-1759256.5471953843,-844792.1822701137,0.0
-1755946.220208553,-844792.1822701137,0.0
-1752635.8932217215,-844792.1822701137,0.0
-1749325.5662348901,-844792.1822701137,0.0
-1746015.2392480588,-844792.1822701137,0.0
-1742704.9122612274,-844792.1822701137,0.0
-1739394.585274396,-844792.1822701137,0.0
-1736084.2582875646,-844792.1822701137,0.0
-1732773.9313007332,-844792.1822701137,0.0
-1729463.6043139019,-844792.1822701137,0.0
-1726153.2773270705,-844792.1822701137,0.0
-1722842.950340239,-844792.1822701137,0.0
-1719532.6233534077,-844792.1822701137,0.0
-1716222.2963665763,-844792.1822701137,0.0
-1712911.969379745,-844792.1822701137,0.0
-1709601.6423929136,-844792.1822701137,0.0
-1706291.3154060822,-844792.1822701137,0.0
-1702980.988419251,-844792.1822701137,0.0
-1699670.6614324194,-844792.1822701137,0.0
-1696360.3344455883,-844792.1822701137,0.0
-1693050.007458757,-844792.1822701137,0.0
-1689739.6804719255,-844792.1822701137,0.0
-1686429.3534850942,-844792.1822701137,0.0
-1683119.0264982628,-844792.1822701137,0.0
-1679808.6995114314,-844792.1822701137,0.0
-1676498.3725246,-844792.1822701137,0.0
-1673188.0455377686,-844792.1822701137,0.0
-1669877.7185509373,-844792.1822701137,0.0
-1666567.3915641059,-844792.1822701137,0.0
-1663257.0645772745,-844792.1822701137,0.0
-1659946.737590443,-844792.1822701137,0.0
-1656636.4106036117,-844792.1822701137,0.0
-1653326.0836167803,-844792.1822701137,0.0
-1650015.756629949,-844792.1822701137,0.0
-1646705.4296431176,-844792.1822701137,0.0
-1643395.1026562862,-844792.1822701137,0.0
-1640084.7756694548,-844792.1822701137,0.0
-1636774.4486826234,-844792.1822701137,0.0
-1633464.121695792,-844792.1822701137,0.0
-1630153.7947089607,-844792.1822701137,0.0
-1626843.4677221293,-844792.1822701137,0.0
-1623533.140735298,-844792.1822701137,0.0
-1620222.8137484665,-844792.1822701137,0.0
-1616912.4867616352,-844792.1822701137,0.0
-1613602.1597748038,-844792.1822701137,0.0
-1610291.8327879724,-844792.1822701137,0.0
-1606981.505801141,-844792.1822701137,0.0
-1603671.1788143096,-844792.1822701137,0.0
-1600360.8518274785,-844792.1822701137,0.0
-1597050.524840647,-844792.1822701137,0.0
-1593740.1978538157,-844792.1822701137,0.0
-1590429.8708669841,-844792.1822701137,0.0
-1587119.543880153,-844792.1822701137,0.0
-1583809.2168933216,-844792.1822701137,0.0
-1580498.8899064902,-844792.1822701137,0.0
-1577188.5629196586,-844792.1822701137,0.0
-1573878.2359328275,-844792.1822701137,0.0
-1570567.908945996,-844792.1822701137,0.0
-1567257.5819591647,-844792.1822701137,0.0
-1563947.2549723333,-844792.1822701137,0.0
-1560636.927985502,-844792.1822701137,0.0
-1557326.6009986706,-844792.1822701137,0.0
-1554016.2740118392,-844792.1822701137,0.0
-1550705.9470250078,-844792.1822701137,0.0
-1547395.6200381764,-844792.1822701137,0.0
-1544085.293051345,-844792.1822701137,0.0
-1540774.9660645137,-844792.1822701137,0.0
-1537464.6390776823,-844792.1822701137,0.0
-1534154.312090851,-844792.1822701137,0.0
-1530843.9851040195,-844792.1822701137,0.0
-1527533.6581171881,-844792.1822701137,0.0
-1524223.3311303568,-844792.1822701137,0.0
-1520913.0041435254,-844792.1822701137,0.0
-1517602.677156694,-844792.1822701137,0.0
-1514292.3501698626,-844792.1822701137,0.0
-1510982.0231830315,-844792.1822701137,0.0
-1507671.6961961999,-844792.1822701137,0.0
-1504361.3692093687,-844792.1822701137,0.0
-1501051.042222537,-844792.1822701137,0.0
-1497740.715235706,-844792.1822701137,0.0
-1494430.3882488746,-844792.1822701137,0.0
-1491120.0612620432,-844792.1822701137,0.0
-1487809.7342752116,-844792.1822701137,0.0
-1484499.4072883804,-844792.1822701137,0.0
-1481189.0803015488,-844792.1822701137,0.0
-1477878.7533147177,-844792.1822701137,0.0
-1474568.4263278863,-844792.1822701137,0.0
-1471258.099341055,-844792.1822701137,0.0
-1467947.7723542235,-844792.1822701137,0.0
-1464637.4453673922,-844792.1822701137,0.0
-1461327.1183805608,-844792.1822701137,0.0
-1458016.7913937294,-844792.1822701137,0.0
-1454706.464406898,-844792.1822701137,0.0
-1451396.1374200666,-844792.1822701137,0.0
-1448085.8104332353,-844792.1822701137,0.0
-1444775.4834464039,-844792.1822701137,0.0
-1441465.1564595725,-844792.1822701137,0.0
-1438154.829472741,-844792.1822701137,0.0
-1434844.5024859097,-844792.1822701137,0.0
-1431534.1754990784,-844792.1822701137,0.0
-1428223.848512247,-844792.1822701137,0.0
-1424913.5215254156,-844792.1822701137,0.0
-1421603.1945385842,-844792.1822701137,0.0
-1418292.8675517528,-844792.1822701137,0.0
-1414982.5405649215,-844792.1822701137,0.0
-1411672.21357809,-844792.1822701137,0.0
-1408361.886591259,-844792.1822701137,0.0
-1405051.5596044273,-844792.1822701137,0.0
-1401741.2326175962,-844792.1822701137,0.0
-1398430.9056307646,-844792.1822701137,0.0
-1395120.5786439334,-844792.1822701137,0.0
-1391810.2516571018,-844792.1822701137,0.0
-1388499.9246702706,-844792.1822701137,0.0
-1385189.597683439,-844792.1822701137,0.0
-1381879.270696608,-844792.1822701137,0.0
-1378568.9437097765,-844792.1822701137,0.0
-1375258.6167229451,-844792.1822701137,0.0
-1371948.2897361137,-844792.1822701137,0.0
-1368637.9627492824,-844792.1822701137,0.0
-1365327.635762451,-844792.1822701137,0.0
-1362017.3087756196,-844792.1822701137,0.0
-1358706.9817887882,-844792.1822701137,0.0
-1355396.6548019568,-844792.1822701137,0.0
-1352086.3278151255,-844792.1822701137,0.0
-1348776.000828294,-844792.1822701137,0.0
-1345465.6738414627,-844792.1822701137,0.0
-1342155.3468546313,-844792.1822701137,0.0
-1338845.0198678,-844792.1822701137,0.0
-1335534.6928809686,-844792.1822701137,0.0
-1332224.3658941372,-844792.1822701137,0.0
-1328914.0389073058,-844792.1822701137,0.0
-1325603.7119204744,-844792.1822701137,0.0
-1322293.384933643,-844792.1822701137,0.0
-1318983.057946812,-844792.1822701137,0.0
-1315672.7309599803,-844792.1822701137,0.0
-1312362.4039731491,-844792.1822701137,0.0
-1309052.0769863175,-844792.1822701137,0.0
-1305741.7499994864,-844792.1822701137,0.0
-1302431.4230126548,-844792.1822701137,0.0
-1299121.0960258236,-844792.1822701137,0.0
-1295810.769038992,-844792.1822701137,0.0
-1292500.4420521609,-844792.1822701137,0.0
-1289190.1150653292,-844792.1822701137,0.0
-1285879.788078498,-844792.1822701137,0.0
-1282569.4610916665,-844792.1822701137,0.0
-1279259.1341048353,-844792.1822701137,0.0
-1275948.807118004,-844792.1822701137,0.0
-1272638.4801311726,-844792.1822701137,0.0
-1269328.1531443412,-844792.1822701137,0.0
-1266017.8261575098,-844792.1822701137,0.0
-1262707.4991706784,-844792.1822701137,0.0
-1259397.172183847,-844792.1822701137,0.0
-1256086.8451970157,-844792.1822701137,0.0
-1252776.5182101843,-844792.1822701137,0.0
-1249466.191223353,-844792.1822701137,0.0
-1246155.8642365215,-844792.1822701137,0.0
-1242845.5372496904,-844792.1822701137,0.0
-1239535.2102628588,-844792.1822701137,0.0
-1236224.8832760276,-844792.1822701137,0.0
-1232914.556289196,-844792.1822701137,0.0
-1229604.2293023646,-844792.1822701137,0.0
-1226293.9023155333,-844792.1822701137,0.0
-1222983.5753287019,-844792.1822701137,0.0
-1219673.2483418705,-844792.1822701137,0.0
-1216362.921355039,-844792.1822701137,3.6032961889996447
-1213052.5943682077,-844792.1822701137,0.0
-1209742.2673813766,-844792.1822701137,0.0
-1206431.940394545,-844792.1822701137,0.0
-1203121.6134077138,-844792.1822701137,0.0
-1199811.2864208822,-844792.1822701137,0.0
-1196500.959434051,-844792.1822701137,0.0
-1193190.6324472197,-844792.1822701137,0.0
-1189880.3054603883,-844792.1822701137,0.0
-1186569.978473557,-844792.1822701137,0.0
-1183259.6514867255,-844792.1822701137,0.0
-1179949.324499894,-844792.1822701137,0.0
-1176638.9975130628,-844792.1822701137,0.0
-1173328.6705262312,-844792.1822701137,0.0
-1170018.3435394,-844792.1822701137,0.0
-1166708.0165525684,-844792.1822701137,0.0
-1163397.6895657373,-844792.1822701137,0.0
-1160087.362578906,-844792.1822701137,0.0
-1156777.0355920745,-844792.1822701137,0.0
-1153466.7086052431,-844792.1822701137,0.0
-1150156.3816184117,-844792.1822701137,0.0
-1146846.0546315804,-844792.1822701137,0.0
-1143535.727644749,-844792.1822701137,0.0
-1140225.4006579176,-844792.1822701137,0.0
-1136915.0736710862,-844792.1822701137,0.0
-1133604.7466842548,-844792.1822701137,0.0
-1130294.4196974235,-844792.1822701137,0.0
-1126984.0927105923,-844792.1822701137,0.0
-1123673.7657237607,-844792.1822701137,0.0
-1120363.4387369296,-844792.1822701137,0.0
-1117053.111750098,-844792.1822701137,0.0
-1113742.7847632668,-844792.1822701137,0.0
-1110432.4577764352,-844792.1822701137,0.0
-1107122.130789604,-844792.1822701137,0.0
-1103811.8038027724,-844792.1822701137,0.0
-1100501.4768159413,-844792.1822701137,0.0
-1097191.1498291097,-844792.1822701137,0.0
-1093880.8228422785,-844792.1822701137,0.0
-1090570.495855447,-844792.1822701137,0.0
-1087260.1688686158,-844792.1822701137,0.0
-1083949.8418817841,-844792.1822701137,0.0
-1080639.514894953,-844792.1822701137,0.0
-1077329.1879081216,-844792.1822701137,0.0
-1074018.8609212902,-844792.1822701137,0.0
-1070708.5339344589,-844792.1822701137,0.0
-1067398.2069476275,-844792.1822701137,0.0
-1064087.879960796,-844792.1822701137,0.0
-1060777.5529739647,-844792.1822701137,0.0
-1057467.2259871333,-844792.1822701137,0.0
-1054156.899000302,-844792.1822701137,0.0
-1050846.5720134706,-844792.1822701137,0.0
-1047536.2450266392,-844792.1822701137,0.0
-1044225.9180398078,-844792.1822701137,0.0
-1040915.5910529764,-844792.1822701137,0.0
-1037605.264066145,-844792.1822701137,0.0
-1034294.9370793137,-844792.1822701137,0.0
-1030984.6100924823,-844792.1822701137,0.0
-1027674.283105651,-844792.1822701137,0.0
-1024363.9561188195,-844792.1822701137,0.0
-1021053.6291319883,-844792.1822701137,0.0
-1017743.3021451568,-844792.1822701137,0.0
-1014432.9751583255,-844792.1822701137,0.0
-1011122.6481714941,-844792.1822701137,0.0
-1007812.3211846628,-844792.1822701137,0.0
-1004501.9941978314,-844792.1822701137,0.0
-1001191.667211,-844792.1822701137,0.0
-1845325.048853,-841158.9128142275,0.0
-1842014.7218661685,-841158.9128142275,0.0
-1838704.3948793372,-841158.9128142275,0.0
-1835394.0678925058,-841158.9128142275,0.0
-1832083.7409056744,-841158.9128142275,0.0
-1828773.413918843,-841158.9128142275,0.0
-1825463.0869320116,-841158.9128142275,0.0
-1822152.7599451803,-841158.9128142275,0.0
-1818842.432958349,-841158.9128142275,0.0
-1815532.1059715175,-841158.9128142275,0.0
-1812221.7789846861,-841158.9128142275,0.0
-1808911.4519978547,-841158.9128142275,0.0
-1805601.1250110234,-841158.9128142275,0.0
-1802290.798024192,-841158.9128142275,0.0
-1798980.4710373606,-841158.9128142275,0.0
-1795670.1440505292,-841158.9128142275,0.0
-1792359.817063698,-841158.9128142275,0.0
-1789049.4900768667,-841158.9128142275,0.0
-1785739.1630900353,-841158.9128142275,0.0
-1782428.836103204,-841158.9128142275,0.0
-1779118.5091163726,-841158.9128142275,0.0
-1775808.1821295412,-841158.9128142275,0.0
-1772497.8551427098,-841158.9128142275,0.0
-1769187.5281558784,-841158.9128142275,0.0
-1765877.201169047,-841158.9128142275,0.0
-1762566.8741822157,-841158.9128142275,0.0
-1759256.5471953843,-841158.9128142275,0.0
-1755946.220208553,-841158.9128142275,0.0
-1752635.8932217215,-841158.9128142275,0.0
-1749325.5662348901,-841158.9128142275,0.0
-1746015.2392480588,-841158.9128142275,0.0
-1742704.9122612274,-841158.9128142275,0.0
-1739394.585274396,-841158.9128142275,0.0
-1736084.2582875646,-841158.9128142275,0.0
-1732773.9313007332,-841158.9128142275,0.0
-1729463.6043139019,-841158.9128142275,0.0
-1726153.2773270705,-841158.9128142275,0.0
-1722842.950340239,-841158.9128142275,0.0
-1719532.6233534077,-841158.9128142275,0.0
-1716222.2963665763,-841158.9128142275,0.0
-1712911.969379745,-841158.9128142275,0.0
-1709601.6423929136,-841158.9128142275,0.0
-1706291.3154060822,-841158.9128142275,0.0
-1702980.988419251,-841158.9128142275,0.0
-1699670.6614324194,-841158.9128142275,0.0
-1696360.3344455883,-841158.9128142275,0.0
-1693050.007458757,-841158.9128142275,0.0
-1689739.6804719255,-841158.9128142275,0.0
-1686429.3534850942,-841158.9128142275,0.0
-1683119.0264982628,-841158.9128142275,0.0
-1679808.6995114314,-841158.9128142275,0.0
-1676498.3725246,-841158.9128142275,0.0
-1673188.0455377686,-841158.9128142275,0.0
-1669877.7185509373,-841158.9128142275,0.0
-1666567.3915641059,-841158.9128142275,0.0
-1663257.0645772745,-841158.9128142275,0.0
-1659946.737590443,-841158.9128142275,0.0
-1656636.4106036117,-841158.9128142275,0.0
-1653326.0836167803,-841158.9128142275,0.0
-1650015.756629949,-841158.9128142275,0.0
-1646705.4296431176,-841158.9128142275,0.0
-1643395.1026562862,-841158.9128142275,0.0
-1640084.7756694548,-841158.9128142275,0.0
-1636774.4486826234,-841158.9128142275,0.0
-1633464.121695792,-841158.9128142275,0.0
-1630153.7947089607,-841158.9128142275,0.0
-1626843.4677221293,-841158.9128142275,0.0
-1623533.140735298,-841158.9128142275,0.0
-1620222.8137484665,-841158.9128142275,0.0
-1616912.4867616352,-841158.9128142275,0.0
-1613602.1597748038,-841158.9128142275,0.0
-1610291.8327879724,-841158.9128142275,0.0
-1606981.505801141,-841158.9128142275,0.0
-1603671.1788143096,-841158.9128142275,0.0
-1600360.8518274785,-841158.9128142275,0.0
-1597050.524840647,-841158.9128142275,0.0
-1593740.1978538157,-841158.9128142275,0.0
-1590429.8708669841,-841158.9128142275,0.0
-1587119.543880153,-841158.9128142275,0.0
-1583809.2168933216,-841158.9128142275,0.0
-1580498.8899064902,-841158.9128142275,0.0
-1577188.5629196586,-841158.9128142275,0.0
-1573878.2359328275,-841158.9128142275,0.0
-1570567.908945996,-841158.9128142275,0.0
-1567257.5819591647,-841158.9128142275,0.0
-1563947.2549723333,-841158.9128142275,0.0
-1560636.927985502,-841158.9128142275,0.0
-1557326.6009986706,-841158.9128142275,0.0
-1554016.2740118392,-841158.9128142275,0.0
-1550705.9470250078,-841158.9128142275,0.0
-1547395.6200381764,-841158.9128142275,0.0
-1544085.293051345,-841158.9128142275,0.0
-1540774.9660645137,-841158.9128142275,0.0
-1537464.6390776823,-841158.9128142275,0.0
-1534154.312090851,-841158.9128142275,0.0
-1530843.9851040195,-841158.9128142275,0.0
-1527533.6581171881,-841158.9128142275,0.0
-1524223.3311303568,-841158.9128142275,0.0
-1520913.0041435254,-841158.9128142275,0.0
-1517602.677156694,-841158.9128142275,0.0
-1514292.3501698626,-841158.9128142275,0.0
-1510982.0231830315,-841158.9128142275,0.0
-1507671.6961961999,-841158.9128142275,0.0
-1504361.3692093687,-841158.9128142275,0.0
-1501051.042222537,-841158.9128142275,0.0
-1497740.715235706,-841158.9128142275,0.0
-1494430.3882488746,-841158.9128142275,0.0
-1491120.0612620432,-841158.9128142275,0.0
-1487809.7342752116,-841158.9128142275,0.0
-1484499.4072883804,-841158.9128142275,0.0
-1481189.0803015488,-841158.9128142275,0.0
-1477878.7533147177,-841158.9128142275,0.0
-1474568.4263278863,-841158.9128142275,0.0
-1471258.099341055,-841158.9128142275,0.0
